CPU Free%,MEM Free%,SWAP Free%,TimeOfLog
95.663269,12.187384,29.962090,Tue Dec  7 17:55:14 2021
83.033417,12.239715,29.962090,Tue Dec  7 17:55:15 2021
86.563309,12.214643,29.962090,Tue Dec  7 17:55:16 2021
87.594940,12.208375,29.962090,Tue Dec  7 17:55:17 2021
86.835442,12.209172,29.962090,Tue Dec  7 17:55:18 2021
91.581635,12.222503,29.962090,Tue Dec  7 17:55:19 2021
88.372093,12.204098,29.962090,Tue Dec  7 17:55:20 2021
89.540817,12.191563,29.962090,Tue Dec  7 17:55:21 2021
89.743591,12.191563,29.962090,Tue Dec  7 17:55:22 2021
